,report,date,transcript_source
627,27484650.0,2008-12-15,0
628,14385363.0,2009-01-30,0
629,14385710.0,2009-01-30,0
630,15431260.0,2009-10-23,0
632,15432155.0,2009-10-23,0
633,15770527.0,2010-01-29,0
636,27484810.0,2010-06-08,0
637,16412749.0,2010-07-23,0
638,16413555.0,2010-07-23,0
640,16781839.0,2010-10-22,0
642,16783361.0,2010-10-22,0
643,16914858.0,2010-11-16,0
650,16914859.0,2010-11-16,0
657,17047024.0,2010-12-15,0
659,17059274.0,2010-12-15,0
660,17051131.0,2010-12-16,0
661,17183405.0,2011-01-28,0
663,17183407.0,2011-01-28,0
664,18284815.0,2011-10-21,0
666,18284996.0,2011-10-21,0
668,18357264.0,2011-11-03,0
669,18901924.0,2012-03-08,0
670,20315328.0,2012-06-01,0
671,21174373.0,2012-12-10,0
672,21174374.0,2012-12-10,0
674,21362277.0,2013-01-25,0
675,21362278.0,2013-01-25,0
678,21578787.0,2013-03-06,0
679,21976545.0,2013-05-29,0
681,22663064.0,2013-10-18,0
683,22663065.0,2013-10-18,0
684,23157766.0,2014-01-24,0
685,23158214.0,2014-01-24,0
686,23394501.0,2014-03-05,0
688,24540225.0,2014-09-15,0
690,24711178.0,2014-10-17,0
691,24711594.0,2014-10-17,0
692,25301211.0,2015-01-23,0
693,25663369.0,2015-03-19,0
694,26155757.0,2015-05-27,0
698,5733812.0,2015-06-04,1
700,26613761.0,2015-07-28,0
701,27759861.0,2015-12-16,0
702,28234310.0,2016-01-29,0
703,28414929.0,2016-02-17,0
705,28555729.0,2016-03-02,0
708,28629951.0,2016-03-08,0
710,29361827.0,2016-05-11,0
711,29544365.0,2016-06-08,0
712,61726082.0,2016-12-16,0
713,62181289.0,2017-03-01,0
715,63775463.0,2017-11-14,0
716,63937656.0,2017-12-13,0
717,67337298.0,2019-05-14,0
718,68271188.0,2019-11-05,0
719,68777858.0,2020-01-31,0
720,70360482.0,2020-09-08,0
722,70968549.0,2020-12-01,0
725,71352623.0,2021-01-29,0
726,72578356.0,2021-07-23,0
727,72584060.0,2021-07-23,0
729,74255685.0,2022-03-03,0
730,15133371.0,2022-03-15,1
732,74323345.0,2022-03-15,0
734,503468.0,2001-04-25,1
735,13272640.0,2008-03-20,0
736,13819909.0,2008-08-13,0
737,8903287.0,2003-07-23,0
738,8903420.0,2003-07-23,0
739,11917903.0,2007-01-25,0
740,12200440.0,2007-04-25,0
741,12443536.0,2007-07-18,0
742,14756574.0,2009-04-23,0
743,15087239.0,2009-07-22,0
744,17527785.0,2011-04-29,0
745,17531556.0,2011-04-29,0
746,18366334.0,2011-11-04,0
748,18368752.0,2011-11-04,0
750,18481300.0,2011-11-30,0
752,18891950.0,2012-03-06,0
753,20189691.0,2012-05-08,0
754,20229058.0,2012-05-15,0
755,20266533.0,2012-05-22,0
756,20273431.0,2012-05-23,0
757,20649697.0,2012-08-14,0
759,20655004.0,2012-08-15,0
760,21075581.0,2012-11-14,0
761,21138140.0,2012-11-28,0
762,21382190.0,2013-01-30,0
763,21382192.0,2013-01-30,0
764,21576434.0,2013-03-06,0
766,21935862.0,2013-05-21,0
768,21951142.0,2013-05-23,0
771,22005031.0,2013-06-05,0
772,22206689.0,2013-07-18,0
773,22261032.0,2013-07-18,0
774,22362145.0,2013-08-14,0
777,22470404.0,2013-09-04,0
779,22742163.0,2013-10-30,0
780,22743019.0,2013-10-30,0
781,22936204.0,2013-12-04,0
782,22957764.0,2013-12-09,0
784,23374508.0,2014-03-03,0
787,23920801.0,2014-06-03,0
788,24351704.0,2014-08-12,0
789,24859719.0,2014-11-06,0
791,24860555.0,2014-11-06,0
793,25028429.0,2014-12-03,0
794,25060745.0,2014-12-09,0
797,25551741.0,2015-03-02,0
798,26751509.0,2015-08-12,0
799,26953364.0,2015-09-10,0
800,27098265.0,2015-10-06,0
801,27618742.0,2015-12-02,0
802,27680544.0,2015-12-08,0
804,28205198.0,2016-01-28,0
805,28210193.0,2016-01-28,0
806,28631255.0,2016-03-08,0
807,62766769.0,2017-06-07,0
808,8904312.0,2003-07-28,0
810,9843878.0,2004-10-07,0
811,10043605.0,2005-01-10,0
812,10655808.0,2005-10-10,0
813,11413792.0,2006-07-10,0
814,11641127.0,2006-10-10,0
815,11641702.0,2006-10-10,0
816,11876903.0,2007-01-09,0
817,12150703.0,2007-04-10,0
819,12229508.0,2007-05-02,0
821,12237744.0,2007-05-02,0
822,12243183.0,2007-05-02,0
825,12695598.0,2007-10-09,0
826,12698743.0,2007-10-09,0
827,13002408.0,2008-01-09,0
829,13002476.0,2008-01-09,0
830,13003125.0,2008-01-09,0
832,18609720.0,2012-01-10,0
833,18609722.0,2012-01-10,0
834,20549599.0,2012-07-25,0
835,20549600.0,2012-07-25,0
836,21012719.0,2012-11-02,0
837,21380681.0,2013-01-30,0
838,24785729.0,2014-10-29,0
839,24785807.0,2014-10-29,0
841,24886659.0,2014-11-10,0
842,25520365.0,2015-02-25,0
843,26250008.0,2015-06-11,0
844,26251064.0,2015-06-11,0
845,28482425.0,2016-02-24,0
846,29828192.0,2016-07-27,0
847,61100822.0,2016-09-08,0
848,61554173.0,2016-11-17,0
849,62069594.0,2017-02-15,0
